,text,Predicted_Sentiment,True_Sentiment
0,"RYU Apparel Brings Customer Care Services In-house, Strengthening Brand Loyalty",neutral,positive
1,"AMREP Co. (NYSE:AXR) Director Edward B. Cloues II Buys 2,500 Shares of Stock",neutral,neutral
2,"Johnson arrives in India to meet Modi, seek economic deals",neutral,neutral
3,Remembering Bearden High School,neutral,neutral
4,"‘My body is here, but my soul, mind and everything else, is at home in Ukraine’",neutral,neutral
5,New Jersey's recreational marijuana market open for business,neutral,neutral
6,"China's Xi proposes 'global security initiative', without giving details",neutral,neutral
7,"BEQUANT lists its first music token, the JAM Token, which aims to pay musicians a fair rate",neutral,neutral
8,The Daily Ripple-News Music Ideas,neutral,neutral
9,Herc Holdings: Q1 Earnings Snapshot,neutral,neutral
10,Building A Bridge While Crossing It: How The BrightDrop – GM - Kuka Alliance Produced A New EV Delivery Van In 20 Months,neutral,positive
11,Tesla 1Q earnings 7 times more than year ago on strong sales,positive,positive
12,Pakistan’s new Cabinet sworn in at presidency in Islamabad,neutral,neutral
13,NFL Teams falling in love with Alontae Taylor’s speed,neutral,positive
14,Putin tries to claim Mariupol win but will not storm holdout,neutral,neutral
15,Scientists analyse ‘speech’ of elusive Scottish dolphin species for first time,neutral,neutral
16,Rutgers football assistant Drew Lascari relying on his quarterback past at Pequannock in new role,neutral,neutral
17,Man United hires Erik ten Hag as 5th manager in 9 years,neutral,neutral
18,CPI figures highlight global economic challenges - Grant Robertson,neutral,neutral
19,Veeva Vault CTMS Launched at Bristol Myers Squibb to Simplify Clinical Trial Processes Globally,neutral,positive
20,"PVH Corp. (NYSE:PVH) EVP Sells $36,627.50 in Stock",neutral,neutral
21,SageView Closes $900 Million Capital One Investing Acquisition,neutral,neutral
22,Mexico’s electricity sector rankled by doubt and legal chaos,negative,negative
23,"Sigma Planning Corp Buys New Holdings in Perficient, Inc. (NASDAQ:PRFT)",neutral,neutral
24,Remembering Beaver Area High School,neutral,neutral
25,UK lawmakers vote on whether to probe Johnson's alleged lies,neutral,neutral
26,Huntington Bancshares: Q1 Earnings Snapshot,neutral,neutral
27,"United Airlines loses $1.4B in 1Q, but expects profit in 2Q",negative,neutral
28,Ambulance crews called to A835 Tore roundabout crash,neutral,negative
29,"Teddy Bear, the North Myrtle Beach Humane Society dog famous for his bucket list, has died",neutral,negative
30,Hong Kong Disneyland reopens as Covid cases ease but deaths rise in Shanghai,negative,neutral
31,The Daily Ripple-News Music Ideas,neutral,neutral
32,"Alaska Air Group Inc. Q1 Loss Decreases, beats estimates",neutral,positive
33,Israeli settlers march in West Bank amid wave of unrest,negative,neutral
34,"Vertex Pharmaceuticals Incorporated (NASDAQ:VRTX) Director Yuchun Lee Sells 2,000 Shares",neutral,neutral
35,The Valens Company Secures Agreement for Green Roads Kiosks in Major Malls Across the United States,neutral,positive
36,Salt & Straw Brings a Sweet Treat to Disney Springs with Newest Shop Opening,neutral,positive
37,VLTA LAWSUIT ALERT: Levi & Korsinsky Notifies Volta Inc. Investors of a Class Action Lawsuit and Upcoming Deadline,neutral,negative
38,UN court: Colombia infringed Nicaragua's rights in Caribbean,negative,negative
39,Remembering Beaver Falls High School,neutral,neutral
40,Midday Report: Sphere 3D (ANY) Falls on April 20,neutral,neutral
41,"Serena Williams, Lewis Hamilton Join U.K. Bid To Buy Chelsea From Russian Billionaire Abramovich, Report Says",neutral,neutral
42,Hong Kong-based private equity firm mulls bid for UK's RWS,neutral,neutral
43,"Brightpearl Launches 'Growth Hacking' Podcast, for Online Retailers",neutral,neutral
44,Insteel Industries: Fiscal Q2 Earnings Snapshot,neutral,neutral
45,Report: Hunger kills hundreds of kids in Ethiopia’s Tigray,negative,negative
46,"Years of fruitful relations between Disney, Florida at risk",neutral,negative
47,The Government has no plan to control inflation - Christoper Luxon,neutral,negative
48,‘Privileged to have witnessed it’: Loch Ness Monster sighting stuns Highland resident of 30 years,neutral,positive
49,Tennessee governor declines to intervene as execution looms,negative,neutral
50,Sigma Planning Corp Buys New Stake in Invesco S&P 500 Equal Weight Consumer Staples ETF (NYSEARCA:RHS),neutral,neutral
51,Office Properties Income Trust (NASDAQ:OPI) Downgraded by Zacks Investment Research to Hold,neutral,negative
52,The Daily Ripple-News Music Ideas,neutral,neutral
53,Russia pours in more troops and presses attack in the east,neutral,neutral
54,Man United hire Erik ten Hag as 5th manager in 9 years,neutral,neutral
55,WELL Health to Present and Participate in the Bloom Burton & Co. Healthcare Investor Conference,neutral,neutral
56,Veeva Vault CTMS Launched at Bristol Myers Squibb to Simplify Clinical Trial Processes Globally,neutral,positive
57,Remembering Beaver Local High School,neutral,neutral
58,Rosewood Castiglion Del Bosco Is One Of Italy’s Top Hotels,neutral,positive
59,Marsh & McLennan: Q1 Earnings Snapshot,neutral,neutral
60,"10 Killed, 40 Injured in Bombing at Shiite Mosque in Afghanistan's Mazar-e-Sharif",neutral,negative
61,"Rio’s Carnival parade is back, as street bands ache to party",neutral,neutral
62,Bringing Future Development Opportunities Across the Pacific Through Cooperation,neutral,neutral
63,CA San Francisco Bay Area Zone Forecast,neutral,neutral
64,Investigation launched after emergency response to chemical leak at Dounreay,neutral,neutral
65,Yoshinoya beef bowl chain executive fired over sexist remark,negative,negative
66,"What Marcus Smart’s DPOY win means for his career, per Celtics star Jaylen Brown",neutral,positive
67,MGE Energy (NASDAQ:MGEE) Upgraded by Zacks Investment Research to Buy,neutral,positive
68,"Hong Kong reopens venues, extends dining hours as COVID-19 cases fall",neutral,positive
69,Ace Rivington,neutral,neutral
70,Midday Report: Viant (DSP) Shares Fall for April 20,neutral,negative
71,The Daily Ripple-News Music Ideas,neutral,neutral
72,New technology for e-waste switched on - David Parker,neutral,neutral
73,Welltower to Participate in Investor Meetings,neutral,neutral
74,What You Need To Know About The Inaugural Santa Fe Literary Festival,neutral,neutral
75,Remembering Beavercreek High School,neutral,neutral
76,"Sigma Planning Corp Buys Shares of 1,637 Jazz Pharmaceuticals plc (NASDAQ:JAZZ)",neutral,neutral
77,South Africa launches relief for Durban flooding; 448 dead,neutral,negative
78,Philip Morris: Q1 Earnings Snapshot,neutral,neutral
79,"Social NFT Marketplace Orderinbox Secures Seasoned Music Executive Paul Eastwood as Vice President, Sports and Entertainment",neutral,neutral
80,Russia test-fires new intercontinental ballistic missile,neutral,neutral
